question,answer,crop,state,district,category
asking about control of viral problem in cowpea.,apply rogor @ 2ml per liter of water at an interval of 3-4 days for 3 times.,,,,
asking about treatment of retaintion of placenta in cow.,suggested to administer exapar liq.@100 ml twice on the first day and then repeat 100 ml once daily for next three consecutive days.,,,,
query regardig application of weedicide in viscinity of poultry farm,should not be apply if 2-5 days old pullet are inthe premises,,,,
asking about mineral suppliment for goat.,suggested administer agrimin fort as mineral suppliment for goat.,,,,
asking for late varities of rice,"suggested him culture-1, kalinga3, hira, sonmukhihira",,,,
micro nutrient deficiency in bottle gourd,adviced to apply tracel 2 @ 2 gm per liter of water,,,,
asking about fungal wilt of bottle gourd,advice to apply amister @ 1 ml / litre,,,,
query regarding variety of tomato.,"advise to grow varieties like arka alok, pusa ruby and pusa early. etc",,,,
asking about  some variety name of cabbage.,"suggested about the variety like-golden acre,pride of india,pusa mukta,drum head,eclipse drum head.",,,,
asking about treatment of diarrhoea in poultry.,suggested to administer tetracycline powder @ 5gm/5 lit of water twice daily for five days.,,,,
asking about the sericulture  problems,"told him to  contact with mr. kalyan sonowal (farm manager  ,deptt. of sericulture )  for further assistance.
contact no= 8876235603",,,,
asking about the bacterial leaf spot,application of bavistin @2 ml per litre of water,,,,
want to know about fertilizer requirment in ginger as basal dose,"adviced to apply urea 3 kg, 35 kg ssp, 11 kg mop and 1 ton fym per bigha",,,,
qury regarding kisan credit card.,--you can take loan.,,,,
asking about yellowing of leaves,advice to apply cowdung salary,,,,
agril. related query,transfered  to  agril. expert,,,,
query regarding pm kisan,--told him to take the information from the district agriculture office,,,,
shoot borer in banana,adviced to apply malathion 35 ec @ 1 ml per liter of water,,,,
asking about black colour in fish pond and death of fish,"lime @ 8 kg per bigha 
oxymore tablet 20 per bigha
stop entry of wast water",,,,
query regarding aphid,advised to apply rogor @ 2ml/lit,,,,
asking about the nutrient management,spray tracel-2 @ 2 gram /litres of water,,,,
asking about kcc,explained him details,,,,
micro nutrient requirment in ash gourd,spray tracel 2 @ 2 gm per liter of water,,,,
asking about the nutrient management in mustard,suggested him to spray agrotonic @ 2ml / l of water,,,,
query related to hormone application in watermelon,recommended biovita @2ml per litre of water or planofix @1ml per 4.5 litre of water at 8 days of interval,,,,
farmer asking query regarding sowing time of basmati rice.,sowing time of basmati rice: june-july.,,,,
asking about the sowing time and spacing for water melon,"advised him to sow seeds from jan-feb.row distance 2.5 mt,plant distance 2 mt.",,,,
query regarding fertilizer dose of potato,advised to apply urea:dap:mop @ 6:15:11 kg/bigha,,,,
asking about whether his adhaar is linked or not,--told him to visit common service centre as his adhaar is not linked,,,,
asking about the  control of blight in chillis,????? ??? ?? ?????? ??????????????? @ ??? / ? ? ?? water,,,,
control of fruit borer in mango,spray malathion 50 ec @ 2 ml per liter of water,,,,
asking about storage technique of rice,told him mix black pepper or neem powder,,,,
asing about fertilizer dose,"urea-1.5 kg,ssp-2.5kg,mop-1.75kg,borax-25gm/plant",,,,
query regarding control measures psusdostem borer in banana,suggested apply malathion 50 ec @ 1.5 ml per litr of water,,,,
asking about the source of khaki kembel ducklings.,"suggested to contact with s.i.r.d.khanapara,ghy-22",,,,
asking about the pest control in ridge gourd,apply shakti -10 @ 2ml /litres of water,,,,
query regarding issue of soil health card,for further information contact district agriculture office,,,,
asking about the fertilizer dose,apply 10 kg of urea per bigha of land,,,,
call related to agriculture,name is registered & transfered to agriculture expert,,,,
asking that his 1 yr. old calf is suffering from abdominal pain.,"tr.: 1. afanil 100 ml @ 50 ml orally twice daily, 2. floraboost bl 8 no.s @ 2 bl. orally twice daily, 3. meloxicem bl. 4 no.s @ 1 bl. orally twice daily.",,,,
control of ants in coconut,recommended him to apply malathion 5% dust,,,,
asked abt fish culture,explained,,,,
stem borrer in paddy,explained in detail,,,,
asking about cultivation practices of cabbage,given in details,,,,
asking about the controlling measure for aphid on cowpea.,suggested mr chetia to spray malathion 50ec@2ml/litre of water for controlling aphid on cowpea.,,,,
asking for the control of blight in toria,recommended to spray indofil m-45 @ 2gm per liter of water,,,,
asking about control of coconut nutshedding disease.,"reply to apply rogor or savin 2 ml/1l water, mixed well and spray the coconut flower.",,,,
query to control aphids in bhindi,adviced to spray malathion 50 ec 2ml/l,,,,
query regarding nutrozen in pansy flower,"varieties: pusa sawani,parbhani kranti",,,,
querry regarding stem rot in betelvine,recommended to spray bordeaux mixture 4-8 times a day at 15 days interval,,,,
asking about the control measure of bacterial leaf blight in rice.,suggested to spray streptocyclene @6gm/15 lt of water or carbendazim @ 1 and matches box with streptocyclene @ 5gm/15 lt of water.,,,,
vetnery related query,forwarded to vetenery expert,,,,
asking for the control measure against shoot borers in lemon trees.,3 number of sprayings of dimacron solution @ 4 milli litre in per litre of water has been suggetsed to be sprayed at an interval of 20 days.,,,,
asking control of cercospora leaf spot in king chilli,apply index @ 4 gram per 10 litres of water,,,,
asking about the control measure for powdery mildew in potato,"recommended to spray saaf,2 gram/lit water",,,,
asking about the control measure for gram caterpillar.,"advised to spray rocket(profenophos 40% and cypermethrin 4%)@ 1.5 ml/lit of water,2-3 sprays at 5 days interval.",,,,
asking for the control measure against panama disease in banana.,suggested to drench the soil around the base of the plant with 'blitox-50' solution @ 2grams per 1 litre of water.,,,,
diarrhoea in 6 months old calf,pesulin bolus....1 bolus twice daily for 3 days,,,,
asking about the insects pest problem in bhindi,application of malathion 50 ec @ 2 ml per litre of water,,,,
"asking about virieties, seed rate and yield","varieties- kufri chandramukhi, kufri jyoti, kufri sindhuri
seed rate- 3-3.5q per bigha
yield- 13 q per bigha",,,,
asking about the control measure against fruit drop in chilli.,advised him to spray bavistin @ 2 gm/litre of water. after recovery spray tracel-2 @ 2 gm./litre of water.,,,,
asking about some micro nutrient name for potato.,advised to apply multiplex potato special @ 2 gram / litre of water.,,,,
asked about carp disease,given him in details,,,,
asking about the distance between row to row and plant to plant for potato.,row to row 50 cm and plant to plant 15-20cm .,,,,
aksed about the integrated poultry cum fish farming.,given in detail about the integrated poultry cum fish farming.,,,,
query regarding control measures of fungal diseases in tomato,recommended to spray captan @ 2 gm per litr of water,,,,
control of fungal wilt in tomato,advised to spray bavistin @ 2gm/l of water,,,,
asking for growth promoter,spray tracel-2 @ 2 gm per litre of water,,,,
fruit drop,borax 25g/plant,,,,
asking about the name of hybrid varietiers of boro rice.,"suggested mr rai to cultivate arize-6444,krh-1,krh-2 as the recomended varieties of boro rice.",,,,
asking about the control of leaf curl disease in cucumber,suggested him to spray ragor @ 2ml/liter of water,,,,
query regarding insect control in maize.,please spray fipronil 1ml/liter or acephate 75sp 2 ml/liter of water 3 times at 7 days interval in the evening time. and remove the excessivly affected plant parts from the plant and burn in a separate place away from the field.,,,,
asking about treatment crack in udder.,suggested to clean the udder with luke warm water and then apply dermanol cream over the udder twice daily.,,,,
"asking about the quantiy of urea,dap and mop in ridge gourd.","advised to apply urea 10-15 gram/plant,dap 20 gram/plant,mop 10 gram/plant.",,,,
asking about the treatment of fever of a goat.,suggested to administer paracitamol tab @ 1 tab /50kg body wt daily.,,,,
asking about name of early varieties of radish,told him to apply 5 kg urea and 3 kg mop per bigha,,,,
cultural practices,explain in details,,,,
asking about the variety of sugarcane,"suggested  s 155/72, dhansiri , kalang barak",,,,
agri query,forwarded,,,,
asking about vitamin and mineral supplement to the pregnant cows and cough management in piglet.,recommended to give minerax powder @ 70 gram to each pregnant sow in a day. give caflon to piglet @12 gram two times a day for for 3 days continously.,,,,
asking about the recommended fertilizer dose for coconut at age of six years.,"suggested that the recommended fertilizer dose is like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk.",,,,
cultural practices of water melon,explained properly,,,,
asking where to ask for rapeseed mustard seed.,i told him to ask in kvk to get more knowledge about the cultivation practices for rapeseed mustard.,,,,
asking about the planting distance and fertilizer requirement in strawberry.,"planting distance of strawberry- 40cm (between 2 rows)
                                                                          25 cm (between 2 plants)
fertilizer requirement- 17 g urea, 50 g ssp and 13 g mop per plant.",,,,
asking that he is not getting 9th installment of pm kisan.,"--status: waiting for approval by state. visit dist. agri. office, varify adhar no.",,,,
asking for control of bunchy top in banana,recommended him to spray rogor @ 2 ml per litre of water,,,,
query regarding feeding habits of rabbit,"the idel feed of rabbit is carrot , cabbage, cucumber  selected leaf of leafy vegetable & some grain like gram ( but- mah) corn of rice , maize crush etc",,,,
asking about application of plant growth regulator for brinjal,suggested to do ooze test for confirmation. dip the infected leaf/ branch in clear water for half an hour. if white particles comes out then it is bacterial infection. then spray strptomycin or crystocyclin 3 times at 7 days interval mixing 1 gram in 5 liters of water. if no white particles comes out then it is fungal infection. for that spray saaf 3 times at 5 days interval mixing 2 gram in 1 liter of water.,,,,
asking about the disease of chillies,apply bavistin @2gram/litres of water,,,,
query regarding breed of duck,information can be collected from  cvsc aau,,,,
query regarding control of blight in dolichos bean,"pluck the excessively affected leaves
from the plants and burn them in a separate place out from the field. spray copper
oxychloride (blitox-50/ blue copper) 3 gram per liter of water 3 times at 5 days interval
in the evening time in the absence of rain. after that spray micronutrient 6 ml/gm per liter of water 3 times once in a week.",,,,
